url_or_email,source,date_collected
https://paypal-secure-verify.com/login,email_spam,2026-05-01
support@security-alert-chase.bank-update.com,phish_tank,2026-05-01
http://appleid-verify-account.info/signin,sms_phish,2026-05-02
update@netflix-billing-alert.net,email_spam,2026-05-02
https://microsoft-office365-reactivate.info/auth,phish_tank,2026-05-03
billing@amazon-support-desk.co.uk,email_spam,2026-05-03
https://secure-banking-chase-update.tk/portal,honeypot,2026-05-04
account-alert@paypal-security.servehttp.com,phish_tank,2026-05-04
http://fb-login-verify.com/checkpoint,sms_phish,2026-05-05
verify@google-account-recovery.support,email_spam,2026-05-05
https://dropbox-storage-upgrade.info/confirm,phish_tank,2026-05-06
refund@irs-tax-refund-gov.com,email_spam,2026-05-06
https://www.google.com,manual,2026-05-07
https://github.com/login,manual,2026-05-07
https://stackoverflow.com,manual,2026-05-08
https://developer.mozilla.org,manual,2026-05-08
https://www.wikipedia.org,manual,2026-05-09
https://www.npmjs.com,manual,2026-05-09
http://win-prize-now.xyz/claim?ref=abc123,honeypot,2026-05-10
http://free-iphone-giveaway.top/form,sms_phish,2026-05-10
https://dl-malware-dropper.ru/update.exe,honeypot,2026-05-11
http://exploit-kit-landing.biz/gate.php,honeypot,2026-05-11
not_an_email_or_url,manual,2026-05-12
invalid-record-example,honeypot,2026-05-12
https://ebank-wellsfargo-update.info/login.php,phish_tank,2026-05-13
admin@secure-dhl-delivery-notice.com,email_spam,2026-05-13
http://crypto-wallet-restore.com/seed,sms_phish,2026-05-14
noreply@steam-trade-offer-bot.ru,phish_tank,2026-05-14
https://www.cloudflare.com,manual,2026-05-15
https://portal.azure.com,manual,2026-05-15
